Rank,Released,Movie,"Worldwide
Box Office","Domestic
Box Office","International
Box Office"
372,2015,Tang ren jie tan an,"$120,643,551","$459,832","$120,183,719"
373,1987,Lethal Weapon,"$120,192,350","$65,192,350","$55,000,000"
374,1997,Volcano,"$120,100,000","$47,546,796","$72,553,204"
375,1990,Rocky V,"$119,946,358","$40,946,358","$79,000,000"
376,2009,Surrogates,"$119,668,350","$38,577,772","$81,090,578"
377,2009,Red Cliff,"$119,627,047","$627,047","$119,000,000"
378,2012,Hua Pi 2,"$118,528,842","$33,212","$118,495,630"
379,2018,The Commuter,"$118,509,836","$36,343,858","$82,165,978"
380,1999,Blue Streak,"$117,448,157","$68,208,190","$49,239,967"
381,1998,The Siege,"$116,625,798","$40,934,175","$75,691,623"
382,2019,Geukhanjikeob,"$116,127,561","$1,565,885","$114,561,676"
383,1971,Diamonds Are Forever,"$115,999,985","$43,800,000","$72,199,985"
384,2019,Fan Tan Feng Bao 4,"$115,687,407",,"$115,687,407"
385,1986,"The Karate Kid, Part II","$115,103,979","$115,103,979",
386,2018,Xi You Ji Nu Er Guo,"$115,089,944","$187,074","$114,902,870"
387,1995,Judge Dredd,"$113,487,912","$34,687,912","$78,800,000"
388,2006,Underworld: Evolution,"$113,417,762","$62,318,875","$51,098,887"
389,2008,Rambo,"$113,244,290","$42,754,105","$70,490,185"
390,2019,The Gentlemen,"$113,152,222","$36,471,796","$76,680,426"
391,2008,Transporter 3,"$112,930,957","$31,715,062","$81,215,895"
392,1967,You Only Live Twice,"$111,600,000","$43,100,000","$68,500,000"
393,2016,The 5th Wave,"$111,336,398","$34,912,982","$76,423,416"
394,2022,Everything Everywhere All At Once,"$111,308,065","$77,169,474","$34,138,591"
395,2017,Buddies in India,"$110,203,801","$292,662","$109,911,139"
396,2011,Sanctum,"$108,957,098","$23,209,310","$85,747,788"
397,2015,The Man From U.N.C.L.E.,"$108,517,735","$45,445,109","$63,072,626"
398,2014,Pompeii,"$108,469,033","$23,169,033","$85,300,000"
399,2017,Along With The Gods: The Two Worlds,"$107,476,731","$1,908,822","$105,567,909"
400,2000,Shaft,"$107,190,108","$70,327,868","$36,862,240"

401,2014,The Breakup Guru,"$106,798,959","$208,959","$106,590,000"
402,2022,Beomjoidosi 2 (범죄도시2),"$106,034,955","$613,026","$105,421,929"
403,2022,Shen Tan Da Zhan (神探大战),"$105,500,000",,"$105,500,000"
404,2015,Chappie,"$105,002,056","$31,569,268","$73,432,788"
405,2016,Cold War 2,"$104,529,486","$560,824","$103,968,662"
406,2002,The Tuxedo,"$104,429,625","$50,586,000","$53,843,625"
407,1995,Under Siege 2: Dark Territory,"$104,324,083","$50,024,083","$54,300,000"
408,2013,Gangster Squad,"$104,100,903","$46,000,903","$58,100,000"
409,2021,Wrath of Man,"$103,913,405","$27,466,489","$76,446,916"
410,2017,Wukong,"$103,651,195",,"$103,651,195"
411,2021,Meitantei Konan Hiiro no Dangan,"$102,541,050",,"$102,541,050"
412,1994,Timecop,"$102,053,581","$44,853,581","$57,200,000"
413,2004,Kung Fu Hustle,"$102,034,104","$17,104,669","$84,929,435"
414,2016,Railroad Tigers,"$101,822,673","$218,044","$101,604,629"
415,2022,Ming ri zhan ji,"$100,730,000",,"$100,730,000"
416,2004,Hellboy,"$99,823,958","$59,623,958","$40,200,000"
417,1979,Mad Max,"$99,750,000","$8,750,000","$91,000,000"
418,1994,Street Fighter,"$99,423,000","$33,423,000","$66,000,000"
419,2007,Hitman,"$99,135,571","$39,687,694","$59,447,877"
420,2021,Fan Tan Feng Bao (G風暴),"$98,941,096",,"$98,941,096"
421,2019,Shi Tu Xing Zhe 2 Die Ying Xing Dong,"$98,444,408","$296,751","$98,147,657"
422,2012,Contraband,"$98,406,855","$66,528,000","$31,878,855"
423,1987,Predator,"$98,267,558","$59,735,548","$38,532,010"
424,1974,The Man with the Golden Gun,"$97,600,000","$21,000,000","$76,600,000"
425,2003,Once Upon a Time in Mexico,"$97,413,527","$56,330,657","$41,082,870"
426,2007,TMNT,"$96,096,018","$54,149,098","$41,946,920"
427,2000,The 6th Day,"$96,024,898","$34,543,701","$61,481,197"
428,2003,Underworld,"$95,708,457","$51,970,690","$43,737,767"
429,2010,Killers,"$95,572,749","$47,059,963","$48,512,786"
430,2006,The Guardian,"$94,973,540","$55,011,732","$39,961,808"
431,2015,Sha po long 2,"$94,809,560",,"$94,809,560"
432,2013,Riddick,"$94,763,758","$42,025,135","$52,738,623"
433,2022,The Woman King,"$94,374,749","$67,328,130","$27,046,619"
434,2018,Singwa Hamgge: Ingwa Yeon,"$93,453,434","$1,200,246","$92,253,188"
435,2008,Speed Racer,"$93,394,462","$43,945,766","$49,448,696"
436,2021,Shin Evangelion Gekijôban,"$93,370,370","$826,140","$92,544,230"
437,2004,House of Flying Daggers,"$92,863,945","$11,050,094","$81,813,851"
438,2007,Gwoemul,"$92,618,117","$2,201,923","$90,416,194"
439,2009,Underworld 3: Rise of the Lycans,"$92,141,886","$45,802,315","$46,339,571"
440,2018,Jing Zhou,"$91,462,581","$521,396","$90,941,185"
441,2019,Rambo: Last Blood,"$91,378,886","$44,819,352","$46,559,534"
442,2011,Season of the Witch,"$91,126,600","$24,827,228","$66,299,372"
443,2000,Romeo Must Die,"$91,036,760","$55,973,336","$35,063,424"
444,1984,The Karate Kid,"$90,857,623","$90,815,558","$42,065"
445,1976,King Kong,"$90,614,445","$52,614,445","$38,000,000"
446,2015,Veteran,"$90,498,430","$1,155,652","$89,342,778"
447,2018,Di Ren Jie Zhi Si Da Tian Wang,"$90,035,547","$262,963","$89,772,584"
448,2011,Sucker Punch,"$89,758,389","$36,392,502","$53,365,887"
449,2016,Line Walker (使徒行者),"$89,569,657",,"$89,569,657"
450,1974,The Trial of Billy Jack,"$89,000,000","$89,000,000",
451,2005,The Transporter 2,"$88,978,458","$43,095,856","$45,882,602"
452,2012,Brave Hearts Umizaru,"$88,331,372",,"$88,331,372"
453,2017,Chasing the Dragon,"$87,969,037","$456,854","$87,512,183"
454,1997,Spawn,"$87,949,859","$54,979,992","$32,969,867"
455,2008,Max Payne,"$87,775,050","$40,689,393","$47,085,657"
456,2012,Dodookdeul,"$86,960,532","$532,699","$86,427,833"
457,2007,The Kingdom,"$86,802,457","$47,467,250","$39,335,207"
458,1979,Apocalypse Now,"$85,959,710","$83,535,860","$2,423,850"
459,2003,Tears of the Sun,"$85,632,458","$43,632,458","$42,000,000"
460,2018,Mortal Engines,"$85,481,904","$15,951,040","$69,530,864"
461,2018,Robin Hood,"$85,210,012","$30,824,628","$54,385,384"
462,2012,Long men fei jia,"$85,130,718","$170,276","$84,960,442"
463,1991,Point Break,"$83,531,958","$43,218,387","$40,313,571"
464,2021,Mortal Kombat,"$83,508,259","$42,326,031","$41,182,228"
465,1995,Assassins,"$83,306,268","$30,306,268","$53,000,000"
466,2012,Act of Valor,"$82,497,035","$70,012,847","$12,484,188"
467,2022,Xin Shen Bang: Yang Jian (新神榜：杨戬),"$82,453,728",,"$82,453,728"
468,2015,Hitman: Agent 47,"$82,182,803","$22,467,450","$59,715,353"
469,2002,Reign of Fire,"$82,150,183","$43,061,982","$39,088,201"
470,2004,Catwoman,"$82,078,046","$40,202,379","$41,875,667"
471,1969,On Her Majesty's Secret Service,"$82,000,000","$22,800,000","$59,200,000"
472,1988,Midnight Run,"$81,613,606","$38,413,606","$43,200,000"
473,2015,Zhan Lang,"$81,461,069",,"$81,461,069"
474,2011,Drive,"$81,357,930","$35,060,689","$46,297,241"
475,2014,Yi bu zhi yao,"$81,300,000",,"$81,300,000"
476,2013,Pain & Gain,"$81,275,291","$49,875,291","$31,400,000"
477,2016,Underworld: Blood Wars,"$81,209,222","$30,353,973","$50,855,249"
478,2003,The Rundown,"$80,831,893","$47,641,743","$33,190,150"
479,2018,Den of Thieves,"$80,147,166","$44,947,622","$35,199,544"
480,2001,Exit Wounds,"$79,958,599","$51,758,599","$28,200,000"
481,2007,Dragon Wars: D-War,"$79,915,361","$10,977,721","$68,937,640"
482,1986,The Golden Child,"$79,817,937","$79,817,937",
483,2017,Sha Po Lang: Tan Lang,"$79,226,860",,"$79,226,860"
484,1982,Conan the Barbarian,"$79,114,085","$38,264,085","$40,850,000"
485,2013,R.I.P.D.,"$79,076,678","$33,618,855","$45,457,823"
486,1964,From Russia With Love,"$78,900,000","$24,800,000","$54,100,000"
487,2002,Collateral Damage,"$78,353,508","$40,048,332","$38,305,176"
488,1984,The Terminator,"$78,019,031","$38,019,031","$40,000,000"
489,2005,Hostage,"$77,636,443","$34,636,443","$43,000,000"
490,2002,Windtalkers,"$77,628,265","$40,914,068","$36,714,197"
491,1995,Money Train,"$77,224,232","$35,324,232","$41,900,000"
492,2006,Man cheng jin dai huang jin jia,"$76,904,429","$6,566,773","$70,337,656"
493,2017,Tiger Zinda Hai,"$76,520,376","$5,560,921","$70,959,455"
494,2005,Stealth,"$76,416,746","$32,116,746","$44,300,000"
495,2011,The Mechanic,"$76,347,393","$29,121,498","$47,225,895"
496,2018,Sicario: Day of the Soldado,"$76,346,094","$50,065,850","$26,280,244"
497,2014,John Wick,"$75,958,800","$43,037,835","$32,920,965"
498,1982,48 Hrs.,"$75,936,265","$75,936,265",
499,2016,Shin Godjira,"$75,614,390","$1,908,028","$73,706,362"
500,2012,Thermae Romae,"$75,387,554",,"$75,387,554"

501,2020,Jin Ji Jiu Yuan,"$74,889,133",,"$74,889,133"
502,2014,"I, Frankenstein","$74,575,290","$19,075,290","$55,500,000"
503,2003,The Core,"$74,120,792","$31,111,260","$43,009,532"
504,2007,Next,"$73,591,500","$18,211,013","$55,380,487"
505,2014,Brick Mansions,"$73,421,224","$20,396,829","$53,024,395"
506,2019,Charlie’s Angels,"$73,235,048","$17,801,306","$55,433,742"
507,2016,Sultan,"$72,989,781","$5,599,781","$67,390,000"
508,2001,The One,"$72,689,126","$43,905,746","$28,783,380"
509,2008,Death Race,"$72,516,819","$36,316,032","$36,200,787"
510,2016,Tunnel,"$72,460,332","$568,876","$71,891,456"
511,2015,Run All Night,"$71,561,644","$26,461,644","$45,100,000"
512,2005,XXX: State of the Union,"$71,073,932","$26,873,932","$44,200,000"
513,1998,Ronin,"$70,692,101","$41,610,884","$29,081,217"
514,2012,One Piece Film Z,"$70,569,231",,"$70,569,231"
515,2012,Odoru Daisôsasen the Final: Aratanaru kibô,"$70,519,044",,"$70,519,044"
516,2008,Babylon A.D.,"$70,216,497","$22,532,572","$47,683,925"
517,1989,Star Trek V: The Final Frontier,"$70,200,000","$52,210,049","$17,989,951"
518,2015,The Transporter Refueled,"$69,698,495","$16,029,670","$53,668,825"
519,2022,Doragon boru supa supa hiro (ラゴンボール超 スーパーヒーロー)…,"$69,476,133","$32,132,374","$37,343,759"
520,2022,The Northman,"$69,474,569","$34,233,110","$35,241,459"
521,2002,Bad Company,"$69,157,016","$30,157,016","$39,000,000"
522,2008,The X-Files: I Want to Believe,"$68,170,792","$20,982,478","$47,188,314"
523,2004,Taxi,"$68,109,966","$36,609,966","$31,500,000"
524,1983,Sudden Impact,"$67,642,693","$67,642,693",
525,2018,Mile 22,"$66,295,121","$36,108,758","$30,186,363"
526,2016,One Piece Film: Gold,"$65,796,025","$190,859","$65,605,166"
527,2002,K-19: The Widowmaker,"$65,716,126","$35,168,966","$30,547,160"
528,2006,16 Blocks,"$65,595,141","$36,895,141","$28,700,000"
529,2011,Killer Elite,"$65,409,046","$25,124,986","$40,284,060"
530,2021,Wu Xian Shen Du,"$64,900,464",,"$64,900,464"
531,2010,Haeundae,"$64,733,391",,"$64,733,391"
532,2017,Meitantei Konan: Kara Kurenai no Rabu Retta,"$64,724,172",,"$64,724,172"
533,2011,The Darkest Hour,"$64,626,786","$21,443,494","$43,183,292"
534,2011,Tropa de Elite 2: O Inimigo Agora É Outro,"$64,307,758","$100,119","$64,207,639"
535,2015,Bai tuan da zhan,"$64,220,000",,"$64,220,000"
536,2015,Zhong Kui fu mo: Xue yao mo ling,"$64,036,296","$165,428","$63,870,868"
537,2018,L Feng Bao,"$63,931,005",,"$63,931,005"
538,1989,Tango & Cash,"$63,408,614","$63,408,614",
539,2011,Conan the Barbarian,"$63,356,133","$21,295,021","$42,061,112"
540,2013,Kick-Ass 2,"$63,129,909","$28,795,985","$34,333,924"
541,1997,The Peacemaker,"$62,967,368","$41,263,140","$21,704,228"
542,2021,Sao Hei Jue Zhan,"$62,810,000",,"$62,810,000"
543,2000,Proof of Life,"$62,761,005","$32,598,931","$30,162,074"
544,2009,Ninja Assassin,"$62,209,892","$38,122,883","$24,087,009"
545,2014,A Walk Among the Tombstones,"$62,108,587","$26,017,685","$36,090,902"
546,2015,Bai Fa Mo Nu Zhuan Zhi Ming Yue Tian Guo,"$61,850,000",,"$61,850,000"
547,1999,The 13th Warrior,"$61,698,899","$32,698,899","$29,000,000"
548,2017,The Founding of an Army,"$60,600,360",,"$60,600,360"
549,2002,I Spy,"$60,279,822","$33,561,137","$26,718,685"
550,1963,Dr. No,"$59,567,035","$16,067,035","$43,500,000"
551,1991,The Last Boy Scout,"$59,509,925","$59,509,925",
552,2019,Baekdusan,"$59,505,509","$372,562","$59,132,947"
553,2022,Moonfall,"$59,053,195","$19,060,660","$39,992,535"
554,2001,Behind Enemy Lines,"$58,855,732","$58,855,732",
555,2017,Chāi dàn zhuānjiā,"$58,807,172",,"$58,807,172"
556,2015,Doragon bôru Z: Fukkatsu no 'F',"$58,408,363","$8,008,363","$50,400,000"
557,1981,The Cannonball Run,"$57,498,710","$57,498,710",
558,2019,Zhu Xian,"$56,911,144",,"$56,911,144"
559,2005,Elektra,"$56,824,633","$24,409,722","$32,414,911"
560,1980,The Final Countdown,"$56,647,800","$16,647,800","$40,000,000"
561,2022,Hansan Yongeui Chulhyeon (한산: 용의 출현),"$56,525,688","$865,888","$55,659,800"
562,2017,Confidential Assignment,"$56,450,663","$475,618","$55,975,045"
563,2003,Cradle 2 the Grave,"$56,434,942","$34,657,731","$21,777,211"
564,2007,We Own the Night,"$55,307,857","$28,563,179","$26,744,678"
565,1990,Predator 2,"$54,768,418","$28,317,513","$26,450,905"
566,2001,Driven,"$54,616,869","$32,616,869","$22,000,000"
567,2003,National Security,"$54,599,300","$36,288,951","$18,310,349"
568,2004,The Punisher,"$54,533,774","$33,664,370","$20,869,404"
569,2016,The Age of Shadows (밀정),"$54,500,169","$540,268","$53,959,901"
570,1987,RoboCop,"$54,125,172","$53,424,681","$700,491"
571,2005,Aeon Flux,"$53,913,573","$25,857,987","$28,055,586"
572,2015,Hollywood Adventures,"$53,246,837",,"$53,246,837"
573,2011,Choi-jong-byeong-gi-hwal,"$52,760,691","$40,685","$52,720,006"
574,1993,Nowhere to Run,"$52,189,039","$22,189,039","$30,000,000"
575,2017,The Outlaws,"$52,097,753",,"$52,097,753"
576,2018,Peppermint,"$51,800,758","$35,418,723","$16,382,035"
577,1996,Maximum Risk,"$51,702,929","$14,102,929","$37,600,000"
578,2013,Homefront,"$51,695,362","$20,158,492","$31,536,870"
579,1992,Sneakers,"$51,433,000","$51,433,000",
580,1997,Mortal Kombat: Annihilation,"$51,327,406","$35,927,406","$15,400,000"
581,1978,Hooper,"$51,290,536","$51,290,536",
582,2011,Bodyguard,"$51,119,758","$1,834,384","$49,285,374"
583,1994,The Crow,"$51,094,306","$50,638,075","$456,231"
584,2016,Master,"$51,007,693","$584,298","$50,423,395"
585,1977,A Bridge Too Far,"$50,800,000","$50,800,000",
586,2013,Feng Bao,"$50,770,000",,"$50,770,000"
587,2003,Hollywood Homicide,"$50,409,753","$30,207,785","$20,201,968"
588,2012,Red Tails,"$50,365,498","$49,876,377","$489,121"
589,1962,The Longest Day,"$50,100,000","$39,100,000","$11,000,000"
590,2011,Ip Man: Legend of the Grand Master,"$49,721,954","$205,675","$49,516,279"
591,2016,Operation Chromite,"$49,196,532","$1,022,720","$48,173,812"
592,1998,The Negotiator,"$49,105,766","$44,705,766","$4,400,000"
593,1986,Cobra,"$49,042,224","$49,042,224",
594,2005,Danny the Dog,"$49,037,621","$24,537,621","$24,500,000"
595,2018,Death Wish,"$48,575,965","$34,017,028","$14,558,937"
596,2013,The Last Stand,"$48,330,757","$12,050,299","$36,280,458"
597,2013,Bereurlin,"$48,314,840",,"$48,314,840"
598,2012,Red Dawn,"$48,164,150","$44,806,783","$3,357,367"
599,2017,Kōng tiān liè,"$48,069,252",,"$48,069,252"
600,2020,I’m From Today!,"$47,895,889",,"$47,895,889"

601,2017,Ji Qi Zhi Xue,"$47,872,755",,"$47,872,755"
602,2004,Walking Tall,"$47,856,383","$46,213,824","$1,642,559"
603,2023,Plane,"$47,855,350","$32,111,181","$15,744,169"
604,2020,Monster Hunter,"$47,853,893","$15,162,470","$32,691,423"
605,1991,New Jack City,"$47,624,253","$47,624,253",
606,1990,Hard To Kill,"$47,381,527","$47,381,386",$141
607,2003,The Hunted,"$47,213,095","$34,234,008","$12,979,087"
608,1993,Fortress,"$46,730,578","$6,730,578","$40,000,000"
609,1988,Colors,"$46,616,067","$46,616,067",
610,2008,Bangkok Dangerous,"$46,598,133","$15,298,133","$31,300,000"
611,1991,The Rocketeer,"$46,573,027","$46,573,027",
612,2010,Machete,"$46,370,970","$26,593,646","$19,777,324"
613,2017,Qi Man Dun Jia,"$46,263,233","$124,187","$46,139,046"
614,1976,The Enforcer,"$46,200,000","$46,200,000",
615,2004,Torque,"$46,176,322","$21,176,322","$25,000,000"
616,2018,Huang Jin Xiong Di,"$46,165,078","$285,795","$45,879,283"
617,2020,Ji Xian Feng,"$45,986,345","$793,525","$45,192,820"
618,1982,Firefox,"$45,785,720","$45,785,720",
619,2017,Gintama,"$45,776,563",,"$45,776,563"
620,2019,Zhui Long 2: Zhui Ji Da Fu Hao,"$45,738,461","$196,634","$45,541,827"
621,2017,Xin Li Zui,"$45,698,504",,"$45,698,504"
622,1990,RoboCop 2,"$45,681,173","$45,681,173",
623,1991,Thelma & Louise,"$45,459,688","$45,361,000","$98,688"
624,1978,Convoy,"$45,000,000","$45,000,000",
625,1973,Magnum Force,"$44,680,473","$44,680,473",
626,2011,Ra. One,"$44,549,121","$2,509,150","$42,039,971"
627,2010,Shi Yue Wei Cheng,"$44,195,779",,"$44,195,779"
628,1992,Passenger 57,"$44,065,653","$44,065,653",
629,2002,The Transporter,"$43,928,932","$25,296,447","$18,632,485"
630,2006,Crank,"$43,924,923","$27,838,408","$16,086,515"
631,2003,A Man Apart,"$43,797,731","$26,500,000","$17,297,731"
632,2016,Feng Shen Bang,"$43,415,987","$143,430","$43,272,557"
633,2021,Rurôni Kenshin: Sai shûshô - The Final,"$43,384,254",,"$43,384,254"
634,1990,Marked for Death,"$43,224,499","$43,224,499",
635,2006,Tom yum goong,"$43,044,087","$12,044,087","$31,000,000"
636,1986,Heartbreak Ridge,"$42,724,017","$42,724,017",
637,1983,Blue Thunder,"$42,313,354","$42,313,354",
638,1968,Bullitt,"$42,300,945","$42,300,873",$72
639,2010,Joheunnom nabbeunnom isanghannom,"$42,226,657","$128,486","$42,098,171"
640,2009,Gamer,"$42,002,029","$20,534,907","$21,467,122"
641,2019,Masukarêdo hoteru,"$41,885,312",,"$41,885,312"
642,2012,Meitantei Conan: Juichi-ninme no Striker,"$41,863,105",,"$41,863,105"
643,2018,Ansisung,"$41,754,733","$472,166","$41,282,567"
644,2012,Safe,"$41,495,213","$17,142,080","$24,353,133"
645,2012,Dredd,"$41,467,606","$13,414,714","$28,052,892"
646,1997,Money Talks,"$41,076,865","$41,076,865",
647,2011,Drive Angry,"$41,042,583","$10,721,033","$30,321,550"
648,2007,War,"$40,686,409","$22,486,409","$18,200,000"
649,2014,Sin City: A Dame to Kill For,"$40,650,842","$13,757,804","$26,893,038"
650,2010,Ajeossi,"$40,650,572",,"$40,650,572"
651,2015,Yeonpyeonghaejeon,"$40,380,376",,"$40,380,376"
652,2005,Serenity,"$40,319,440","$25,514,517","$14,804,923"
653,2017,xiu chun dao II: xiu luo zhan chang,"$39,965,792","$14,204","$39,951,588"
654,2009,Cirque du Freak: The Vampire's Assistant,"$39,753,957","$14,046,595","$25,707,362"
655,2017,Cheongnyeon Gyeongchal,"$39,737,402",,"$39,737,402"
656,1991,Out for Justice,"$39,673,161","$39,673,161",
657,2006,Dhoom 2,"$39,643,586","$2,643,586","$37,000,000"
658,2008,Never Back Down,"$39,319,801","$24,850,922","$14,468,879"
659,2018,Overlord,"$39,178,189","$21,704,844","$17,473,345"
660,2008,The Spirit,"$39,006,188","$19,806,188","$19,200,000"
661,2011,The Eagle,"$38,993,548","$19,490,041","$19,503,507"
662,1984,Red Dawn,"$38,900,000","$38,900,000",
663,2010,Tau ming chong,"$38,899,792","$129,078","$38,770,714"
664,2007,Dnevnoy dozor,"$38,870,910","$459,095","$38,411,815"
665,2013,Doragon Bōru Zetto Kami to Kami,"$38,848,780",,"$38,848,780"
666,1989,"The Karate Kid, Part III","$38,793,278","$38,793,278",
667,2015,Criminal,"$38,771,262","$14,708,696","$24,062,566"
668,2021,Jin Qian Di Guo Zhui: Hu Qin Long,"$38,611,941",,"$38,611,941"
669,1994,On Deadly Ground,"$38,590,458","$38,590,458",
670,1996,The Ghost and the Darkness,"$38,564,422","$38,564,422",
671,2016,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,452,981",,"$38,452,981"
672,2014,Bang Bang,"$38,381,138","$2,581,138","$35,800,000"
673,1984,City Heat,"$38,348,988","$38,348,988",
674,2004,After the Sunset,"$38,329,114","$28,328,132","$10,000,982"
675,1987,The Running Man,"$38,122,000","$38,122,000",
676,1988,The Dead Pool,"$37,903,000","$37,903,000",
677,2016,Mission Milano,"$37,834,435",,"$37,834,435"
678,2019,Bloodshot,"$37,163,054","$10,021,787","$27,141,267"
679,2019,Fan Zui Xian Chang,"$37,092,694",,"$37,092,694"
680,2001,Kiss of the Dragon,"$36,833,473","$36,833,473",
681,1972,The Getaway,"$36,734,619","$36,734,619",
682,1987,Superman IV: The Quest for Peace,"$36,700,000","$14,522,355","$22,177,645"
683,1996,The Glimmer Man,"$36,404,841","$20,404,841","$16,000,000"
684,2017,Raid Dingue,"$36,360,000",,"$36,360,000"
685,1992,Universal Soldier,"$36,299,898","$36,299,898",
686,1996,Rumble in the Bronx,"$36,238,752","$32,281,907","$3,956,845"
687,1985,Mad Max Beyond Thunderdome,"$36,230,219","$36,230,219",
688,2005,Assault On Precinct 13,"$36,040,895","$20,040,895","$16,000,000"
689,2006,Wu ji,"$35,869,934","$669,625","$35,200,309"
690,2010,Faster,"$35,792,945","$23,240,020","$12,552,925"
691,1977,The Gauntlet,"$35,400,000","$35,400,000",
692,1985,Commando,"$35,078,913","$35,073,978","$4,935"
693,2011,Shaolin,"$35,066,099","$66,099","$35,000,000"
694,1988,Red Heat,"$34,994,648","$34,994,648",
695,2021,Snake Eyes: G.I. Joe Origins,"$34,677,221","$28,264,325","$6,412,896"
696,2012,Ta-weo,"$34,411,903",$726,"$34,411,177"
697,2011,Don 2,"$34,053,090","$3,674,480","$30,378,610"
698,2006,Nochnoy dozor,"$33,913,542","$1,502,188","$32,411,354"
699,2022,Detective Conan: The Bride of Halloween,"$33,777,282",,"$33,777,282"
700,2013,Gamshijadeul,"$33,551,732",,"$33,551,732"

701,2000,Red Planet,"$33,463,969","$17,480,890","$15,983,079"
702,1996,The Long Kiss Goodnight,"$33,447,612","$33,447,612",
703,1968,Planet of the Apes,"$33,398,936","$33,395,426","$3,510"
704,2015,Chek dou,"$33,349,429",,"$33,349,429"
705,2017,Gangcheolbi,"$33,276,122",,"$33,276,122"
706,1985,The Last Dragon,"$33,000,447","$33,000,000",$447
707,1990,Darkman,"$32,942,739","$32,942,739",
708,1990,Air America,"$32,914,515","$30,506,847","$2,407,668"
709,2009,Fighting,"$32,831,707","$23,091,010","$9,740,697"
710,2019,Anna,"$32,825,217","$7,743,794","$25,081,423"
711,2022,heonteu (헌트),"$32,687,164","$25,994","$32,661,170"
712,2012,Fetih 1453,"$32,481,209",,"$32,481,209"
713,2006,Krrish,"$32,430,721","$1,430,721","$31,000,000"
714,2018,Baaghi 2,"$32,408,855","$1,319,579","$31,089,276"
715,2012,Agneepath,"$32,186,870","$1,973,574","$30,213,296"
716,2011,Bai she chuan shuo,"$32,142,621","$18,759","$32,123,862"
717,1992,The Lawnmower Man,"$32,100,816","$32,100,816",
718,2013,Man Tam,"$32,061,558",,"$32,061,558"
719,1997,Metro,"$32,017,895","$32,017,895",
720,2016,Bounty Hunters,"$31,956,249",,"$31,956,249"
721,1994,The Shadow,"$31,835,600","$31,835,600",
722,1998,Mr. Nice Guy,"$31,716,953","$12,716,953","$19,000,000"
723,1993,Hard Target,"$31,636,358","$31,636,358",
724,2010,Robot,"$31,267,492","$2,276,427","$28,991,065"
725,2023,Long Ma Jing Shen (龙马精神),"$31,047,409","$64,759","$30,982,650"
726,2006,Ultraviolet,"$30,962,112","$18,522,064","$12,440,048"
727,2004,Zatoichi,"$30,874,550","$853,718","$30,020,832"
728,2007,Pathfinder,"$30,822,861","$10,232,081","$20,590,780"
729,2018,Gintama 2: Okite wa Yaburu tame ni koso Aru,"$30,798,089",,"$30,798,089"
730,1999,Virus,"$30,626,690","$14,010,690","$16,616,000"
731,2009,Chi Bi Juezhan Tianxia,"$30,500,000",,"$30,500,000"
732,2016,S Storm,"$30,463,603",,"$30,463,603"
733,2015,Mortdecai,"$30,396,134","$7,696,134","$22,700,000"
734,2004,Silmido,"$30,298,347","$298,347","$30,000,000"
735,1989,Road House,"$30,050,028","$30,050,028",
736,2008,The Chaser,"$30,049,670",,"$30,049,670"
737,1975,Rollerball,"$30,000,000","$30,000,000",
738,2017,Ni Shi Ying Jiu,"$29,945,246","$108,970","$29,836,276"
739,2010,The Losers,"$29,863,840","$23,591,432","$6,272,408"
740,2021,Mogadisyu,"$29,848,779","$342,598","$29,506,181"
741,2001,Double Take,"$29,823,162","$29,823,162",
742,2019,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû…,"$29,753,435",,"$29,753,435"
743,2000,Battlefield Earth: A Saga of the Year 3000,"$29,725,663","$21,471,685","$8,253,978"
744,2006,Taepung,"$29,592,720","$139,059","$29,453,661"
745,2012,Si da ming bu,"$29,567,632",,"$29,567,632"
746,2013,Race 2,"$29,476,034","$1,579,940","$27,896,094"
747,2008,Singh is Kinng,"$29,339,790","$2,523,511","$26,816,279"
748,1994,A Low Down Dirty Shame,"$29,317,886","$29,317,886",
749,2013,Meitantei Konan Zekkai no Puraibēto Ai,"$29,302,051",,"$29,302,051"
750,1988,Shoot to Kill,"$29,300,000","$29,300,000",
751,2012,Wu Xia,"$29,284,214","$11,300","$29,272,914"
752,2015,Jie jiu wu xian sheng,"$29,201,927","$92,696","$29,109,231"
753,2022,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157","$8,816,163"
754,2016,Viking,"$29,099,751",,"$29,099,751"
755,1991,Double Impact,"$29,090,445","$29,090,445",
756,1992,3 Ninjas,"$29,028,000","$29,028,000",
757,2001,Heist,"$28,906,817","$23,483,357","$5,423,460"
758,2012,Baramgwa hamjje sarajida,"$28,686,545",,"$28,686,545"
759,1994,Drop Zone,"$28,607,015","$28,607,015",
760,2015,Shingeki no kyojin,"$28,528,388","$258,794","$28,269,594"
761,2020,Soul Snatcher,"$28,501,108",,"$28,501,108"
762,2014,Sin-ui Hansu,"$28,211,214",,"$28,211,214"
763,1971,Dirty Harry,"$28,153,434","$28,153,434",
764,2011,Huà Bì,"$28,134,879",,"$28,134,879"
765,2018,Thugs of Hindostan,"$27,942,770","$1,449,848","$26,492,922"
766,1983,Uncommon Valor,"$27,900,000","$27,900,000",
767,2008,RocknRolla,"$27,794,339","$5,700,626","$22,093,713"
